Rule,Instance,Algorithm,Run,Type,Precision,Recall,F1,ED,HV,Time
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_2,QIMIG,2.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,140.2670944
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_6,QIMIG,6.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,130.7042882
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_27,QIMIG,27.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,154.5207057
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_28,QIMIG,28.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,154.9846947
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_3,QIMIG,3.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,155.8533285
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_4,QIMIG,4.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,155.2978904
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_29,QIMIG,29.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,160.6639428
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_5,QIMIG,5.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,148.3606417
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_9,QIMIG,9.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,148.9941504
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_8,QIMIG,8.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,163.5289333
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_12,QIMIG,12.0,INTEGRATED,1.0,0.59839527,0.604661803,0.40160472999999997,0.59839527,745.0499415
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_2,QIMIG,2.0,INTEGRATED,0.99930021,0.603040541,0.607382786,0.39696007582075143,0.6026185392598137,727.9394431
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_10,QIMIG,10.0,INTEGRATED,0.999298738,0.601773649,0.60649384,0.3982269684478537,0.601351648007355,861.4847701
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_13,QIMIG,13.0,INTEGRATED,0.999295775,0.599239865,0.604717649,0.4007607537397703,0.5988178653060704,876.3115287
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_0,QIMIG,0.0,INTEGRATED,0.997194951,0.600506757,0.603992741,0.3995030907296581,0.5988223061217839,915.8789389
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_15,QIMIG,15.0,INTEGRATED,1.0,0.59839527,0.604661803,0.40160472999999997,0.59839527,904.2160015
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_0,QIMIG,0.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,176.4445553
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_23,QIMIG,23.0,INTEGRATED,0.998594519,0.600084459,0.604772529,0.39991801073490557,0.5992410516944802,846.8175004
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_18,QIMIG,18.0,INTEGRATED,0.99314599,0.611908784,0.608724335,0.38815173500763683,0.6077147550753762,917.8870971
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_5,QIMIG,5.0,INTEGRATED,0.98861353,0.623310811,0.612871223,0.37686124344185173,0.6162135011498727,824.6574118
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_8,QIMIG,8.0,INTEGRATED,1.0,0.599239865,0.605253754,0.40076013499999996,0.599239865,800.9924209
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_1,QIMIG,1.0,INTEGRATED,0.999305073,0.607263514,0.610350171,0.3927371008183,0.6068415101880066,907.2274756
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_7,QIMIG,7.0,INTEGRATED,0.998598458,0.601773649,0.605956136,0.3982288173283709,0.6009302379564332,831.5503287
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_14,QIMIG,14.0,INTEGRATED,1.0,0.600084459,0.605845952,0.39991554100000004,0.600084459,939.3531766
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_12,QIMIG,12.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,69.92370653
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_21,QIMIG,21.0,INTEGRATED,0.999295278,0.598817568,0.604421834,0.40118305096119394,0.5983955680858438,881.1273162
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_17,QIMIG,17.0,INTEGRATED,0.998595506,0.600506757,0.605068337,0.39949571187442434,0.599663348862834,941.4339702
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_22,QIMIG,22.0,INTEGRATED,0.998588567,0.597550676,0.602998971,0.40245179901594486,0.5967072732567212,891.0203195
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_25,QIMIG,25.0,INTEGRATED,1.0,0.599662162,0.605549822,0.400337838,0.599662162,890.4246364
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_28,QIMIG,28.0,INTEGRATED,0.99929627,0.599662162,0.605013525,0.40033845652201233,0.5992401617467358,900.2997365
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_11,QIMIG,11.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,144.8182569
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_1,QIMIG,1.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,59.40856886
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_20,QIMIG,20.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,61.54387474
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_20,QIMIG,20.0,INTEGRATED,0.999296765,0.600084459,0.605309464,0.3999161593044071,0.5996624586054751,957.8669996
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_11,QIMIG,11.0,INTEGRATED,0.999295278,0.598817568,0.604421834,0.40118305096119394,0.5983955680858438,1022.797769
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_19,QIMIG,19.0,INTEGRATED,1.0,0.600506757,0.606142144,0.399493243,0.600506757,997.6440313
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_3,QIMIG,3.0,INTEGRATED,0.998608212,0.605996622,0.608919628,0.3940058361867852,0.6051532031734599,922.6480961
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_22,QIMIG,22.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,76.79666352
migrationRule3,migrationRule3/num_iter_100pop_size_100/input/input_CO/run_26,QIMIG,26.0,INTEGRATED,0.994401679,0.600084459,0.60154151,0.39995472385176517,0.5967249935714066,947.300442
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_19,QIMIG,19.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,102.9236789
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_10,QIMIG,10.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,219.4924979
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_13,QIMIG,13.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,147.2248225
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_29,QIMIG,29.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,69.34740067
migrationRule4,migrationRule4/num_iter_100pop_size_100/input/input_CO/run_5,QIMIG,5.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,50.15281367
