Rule,Algorithm,Run,F1
Rule1,QF-MIG,6,0.56653625975289
Rule1,QF-MIG,7,0.5626468769325912
Rule1,QF-MIG,8,0.5846986569302114
Rule1,QF-MIG,9,0.5827396428472855
Rule1,QF-MIG,10,0.5678190475874889
Rule1,QF-MIG,11,0.5606451384963256
Rule1,QF-MIG,12,0.5604277129727819
Rule1,QF-MIG,14,0.5648936874875803
Rule1,QF-MIG,13,0.5741846988778117
Rule1,QF-MIG,15,0.5618930953996921
Rule1,QF-MIG,17,0.5839436358579773
Rule1,QF-MIG,16,0.5657159772594476
Rule1,QF-MIG,18,0.5658770933189353
Rule1,QF-MIG,19,0.5702980240251176
Rule1,QF-MIG,21,0.5606451384963256
Rule1,QF-MIG,20,0.5667373630258041
Rule1,QF-MIG,22,0.5720819072673318
Rule1,QF-MIG,23,0.5744441317196736
Rule1,QF-MIG,24,0.5734992937853107
Rule1,QF-MIG,25,0.5724558761055112
Rule1,QF-MIG,26,0.5840317775571002
Rule1,QF-MIG,28,0.5625908434245928
Rule1,QF-MIG,27,0.578334399227696
Rule1,QF-MIG,29,0.5692592919572702
Rule1,QF-MIG,1,0.582927510226963
Rule1,QF-MIG,0,0.5776844948819471
Rule1,QF-MIG,3,0.5539111022699644
Rule1,QF-MIG,2,0.5600681009131714
Rule1,QF-MIG,4,0.5766017204941869
Rule1,QF-MIG,5,0.563724705297739
Rule1,QF-MIG,6,0.5720819072673318
Rule1,QF-MIG,7,0.5703663000025379
Rule1,QF-MIG,9,0.5784424260828755
Rule1,QF-MIG,8,0.5574679328989631
Rule1,QF-MIG,10,0.5850835758019117
Rule1,QF-MIG,11,0.5721839636339144
Rule1,QF-MIG,12,0.563724705297739
Rule1,QF-MIG,13,0.5618930953996921
Rule1,QF-MIG,14,0.5754035017994745
Rule1,QF-MIG,15,0.5634856183824838
Rule1,QF-MIG,17,0.5614478328352933
Rule1,QF-MIG,18,0.5598053097345133
Rule1,QF-MIG,16,0.5721839636339144
Rule1,QF-MIG,19,0.5669516676088185
Rule1,QF-MIG,20,0.5882062146892655
Rule1,QF-MIG,21,0.5808781908760392
Rule1,QF-MIG,22,0.5713983050847458
Rule1,QF-MIG,23,0.5591340686109266
Rule1,QF-MIG,25,0.5741846988778117
Rule1,QF-MIG,24,0.5889550837865445
Rule1,QF-MIG,26,0.5860175178356997
Rule1,QF-MIG,28,0.5745418070386649
Rule1,QF-MIG,27,0.5667967006993564
Rule1,QF-MIG,29,0.5714210052433664
Rule1,QF-MIG,0,0.5798300783405054
Rule1,QF-MIG,1,0.5826474891643432
Rule1,QF-MIG,2,0.5740680390846373
Rule1,QF-MIG,3,0.5504661724976474
Rule1,QF-MIG,4,0.5775446404917077
Rule1,QF-MIG,5,0.5787029526505433
Rule1,QF-MIG,6,0.5805449576236092
Rule1,QF-MIG,7,0.5798300783405054
Rule1,QF-MIG,8,0.5552595743834923
Rule1,QF-MIG,9,0.5819032485875706
Rule1,QF-MIG,10,0.5807782765078984
Rule1,QF-MIG,11,0.5584415584415584
Rule1,QF-MIG,13,0.5837231181014721
Rule1,QF-MIG,14,0.5805931240538866
Rule1,QF-MIG,12,0.5586657542109097
Rule1,QF-MIG,15,0.5655893021493151
Rule1,QF-MIG,16,0.5558582262807614
Rule1,QF-MIG,17,0.5638210372333085
Rule1,QF-MIG,18,0.5881898557057792
Rule1,QF-MIG,19,0.5711995760747168
Rule1,QF-MIG,20,0.5598968356138325
Rule1,QF-MIG,21,0.57110866713485
Rule1,QF-MIG,22,0.5817093903866111
Rule1,QF-MIG,23,0.567104612559158
Rule1,QF-MIG,24,0.5544920196082987
Rule1,QF-MIG,25,0.5651260504201681
Rule1,QF-MIG,26,0.5688996293367381
Rule1,QF-MIG,28,0.5572410974188453
Rule1,QF-MIG,29,0.5933577258654659
Rule1,QF-MIG,27,0.5797651628851417
Rule1,QF-MIG,0,0.5777012711864407
Rule1,QF-MIG,1,0.5753134841237241
Rule1,QF-MIG,2,0.5669516676088185
Rule1,QF-MIG,4,0.5794142725236469
Rule1,QF-MIG,5,0.564801441651539
Rule1,QF-MIG,6,0.5617189699428666
Rule1,QF-MIG,3,0.5733411045762022
