Rule,Instance,Algorithm,Run,Type,Group,Param_Value,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,Q_GUIDED,12,SENS,POP_SIZE,50,0.996,0.7661538461538462,0.8309214623457502,0.2338803618704209,0.7630892307692309,48.20935916900635
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,HYBRID_RATIO,0.99,0.997920997920998,0.7384615384615385,0.8137951623252957,0.2615467245322522,0.736926275387814,90.20719361305237
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,POP_SIZE,300,0.9920318725099602,0.7661538461538462,0.8285682624113475,0.23398186836662488,0.7600490346307079,86.68703484535217
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,HYBRID_RATIO,0.3,0.9980582524271845,0.7907692307692308,0.848508888592054,0.2092397791447313,0.7892337565347274,72.31995606422424
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,LEARNING_RATE,0.5,0.9979757085020243,0.7584615384615384,0.8269966875230033,0.2415469440055818,0.7569261912176891,75.71789312362671
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,Q_GUIDED,12,SENS,POP_SIZE,100,0.9941747572815534,0.7876923076923077,0.8440857904487562,0.21238759301274301,0.7831038088125466,51.97758913040161
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,GREEDY_RATIO,0.1,0.9979879275653923,0.7630769230769231,0.8300546252990111,0.236931620545212,0.7615415570345148,77.04627823829651
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,HYBRID_RATIO,0.5,0.996031746031746,0.7723076923076924,0.8350086655112652,0.2277268847145744,0.7692429792429794,83.30442190170288
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,GREEDY_RATIO,0.5,0.9920948616600791,0.7723076923076924,0.8326517772884554,0.22782949368863942,0.766202493159015,74.43121981620789
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,GREEDY_RATIO,0.2,1.0,0.7661538461538462,0.8332688088785649,0.23384615384615381,0.7661538461538462,79.50056576728821
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,GREEDY_RATIO,0.4,0.9940476190476191,0.7707692307692308,0.8328087810514153,0.22930803823924806,0.7661813186813187,79.96295762062073
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,Q_GUIDED,12,SENS,POP_SIZE,150,0.9865900383141762,0.7923076923076923,0.8424252597027173,0.20812477446707658,0.7816828765104626,65.6951551437378
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,HYBRID_RATIO,0.7,1.0,0.7584615384615384,0.8281673397921187,0.2415384615384616,0.7584615384615384,88.82573771476746
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,POP_SIZE,50,0.988527724665392,0.7953846153846154,0.8456749737306449,0.20493674322252425,0.7862597440800118,51.62538814544678
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,Q_GUIDED,12,SENS,HYBRID_RATIO,0.3,0.9960474308300395,0.7753846153846153,0.8370556778861278,0.22465015871118474,0.7723198540589845,71.2890248298645
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,Q_GUIDED,12,SENS,LEARNING_RATE,0.05,0.9980582524271845,0.7907692307692308,0.848508888592054,0.2092397791447313,0.7892337565347274,73.90757417678833
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,Q_GUIDED,12,SENS,LEARNING_RATE,0.15,0.9921722113502935,0.78,0.8377692224760991,0.2201392156685048,0.773894324853229,76.17203998565674
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,Q_GUIDED,12,SENS,LEARNING_RATE,0.5,0.9959758551307847,0.7615384615384615,0.8278617817544821,0.23849549066465017,0.7584739204457513,76.81537318229675
